iter	Passed	Remaining
573	1402	1040
574	1404	1038
575	1409	1037
576	1413	1036
577	1417	1034
578	1420	1033
579	1425	1032
580	1429	1030
581	1432	1029
582	1436	1027
583	1439	1025
584	1443	1024
585	1446	1022
586	1450	1020
587	1453	1018
588	1457	1017
589	1461	1015
590	1464	1013
591	1467	1011
592	1471	1010
593	1475	1008
594	1478	1006
595	1481	1004
596	1485	1002
597	1489	1001
598	1492	998
599	1495	996
600	1498	994
601	1502	993
602	1506	991
603	1509	989
604	1512	987
605	1516	985
606	1520	984
607	1523	982
608	1527	980
609	1531	978
610	1534	977
611	1538	975
612	1541	973
613	1544	971
614	1549	969
615	1552	967
616	1556	965
617	1559	963
618	1563	962
619	1566	960
620	1570	958
621	1573	956
622	1576	954
623	1581	952
624	1585	951
625	1588	949
626	1593	947
627	1596	945
628	1600	943
629	1604	942
630	1608	940
631	1612	938
632	1616	936
633	1620	935
634	1625	934
635	1629	932
636	1633	931
637	1638	929
638	1643	928
639	1647	926
640	1650	924
641	1654	922
642	1658	920
643	1661	918
644	1664	916
645	1667	913
646	1671	911
647	1674	909
648	1677	907
649	1680	904
650	1684	903
651	1687	900
652	1690	898
653	1694	896
654	1697	893
655	1701	892
656	1704	889
657	1707	887
658	1710	885
659	1714	883
660	1718	881
661	1722	879
662	1726	877
663	1730	875
664	1734	873
665	1738	871
666	1742	869
667	1746	867
668	1749	865
669	1752	863
670	1755	860
671	1758	858
672	1762	856
673	1765	854
674	1769	851
675	1772	849
676	1776	847
677	1779	845
678	1783	843
679	1786	840
680	1790	838
681	1793	836
682	1796	834
683	1800	831
684	1803	829
685	1807	827
686	1810	824
687	1813	822
688	1816	819
689	1819	817
690	1823	815
691	1826	812
692	1829	810
693	1832	808
694	1836	806
695	1840	803
696	1844	801
697	1847	799
698	1851	797
699	1855	795
700	1858	792
701	1861	790
702	1864	787
703	1868	785
704	1871	783
705	1874	780
706	1877	778
707	1881	775
708	1884	773
709	1887	771
710	1890	768
711	1894	766
712	1898	764
713	1902	761
714	1905	759
715	1909	757
716	1913	755
717	1916	752
718	1919	750
719	1923	747
720	1926	745
721	1931	743
722	1934	741
723	1938	738
724	1942	736
725	1945	734
726	1950	732
727	1953	729
728	1957	727
729	1961	725
730	1964	722
731	1967	720
732	1970	717
733	1974	715
734	1977	713
735	1980	710
736	1984	707
737	1987	705
738	1990	703
739	1994	700
740	1997	698
741	2000	695
742	2004	693
743	2007	690
744	2010	688
745	2013	685
746	2016	683
747	2021	681
748	2025	678
749	2029	676
750	2035	674
751	2039	672
752	2043	670
753	2046	667
754	2051	665
755	2055	663
756	2058	660
757	2061	658
758	2065	655
759	2069	653
760	2072	650
761	2075	648
762	2078	645
763	2082	643
764	2085	640
765	2089	638
766	2092	635
767	2095	633
768	2099	630
769	2102	627
770	2105	625
771	2108	622
772	2112	620
773	2115	617
774	2118	615
775	2121	612
776	2124	609
777	2128	607
778	2131	604
779	2134	602
780	2137	599
781	2142	597
782	2145	594
783	2149	592
784	2152	589
785	2157	587
786	2160	584
787	2163	582
788	2166	579
789	2169	576
790	2175	574
791	2178	572
792	2181	569
793	2185	566
794	2189	564
795	2192	561
796	2195	559
797	2198	556
798	2202	553
799	2205	551
800	2208	548
801	2211	546
802	2214	543
803	2218	540
804	2221	538
805	2225	535
806	2228	532
807	2231	530
808	2235	527
809	2238	525
810	2241	522
811	2244	519
812	2248	517
813	2252	514
814	2255	512
815	2259	509
816	2263	507
817	2267	504
818	2270	501
819	2273	499
820	2276	496
821	2280	493
822	2284	491
823	2287	488
824	2290	485
825	2293	483
826	2297	480
827	2300	477
828	2303	475
829	2306	472
830	2310	469
831	2314	467
832	2317	464
833	2320	461
834	2323	459
835	2327	456
836	2330	453
837	2333	451
838	2336	448
839	2340	445
840	2343	443
841	2346	440
842	2349	437
843	2352	434
844	2356	432
845	2360	429
846	2364	427
847	2367	424
848	2371	421
849	2374	419
850	2378	416
851	2381	413
852	2384	410
853	2388	408
854	2391	405
855	2394	402
856	2397	400
857	2401	397
858	2404	394
859	2408	392
860	2411	389
861	2414	386
862	2418	383
863	2422	381
864	2426	378
865	2431	376
866	2435	373
867	2439	371
868	2443	368
869	2447	365
870	2451	363
871	2454	360
872	2458	357
873	2462	354
874	2465	352
875	2468	349
876	2472	346
877	2475	343
878	2479	341
879	2482	338
880	2485	335
881	2488	332
882	2491	330
883	2495	327
884	2498	324
885	2502	321
886	2505	319
887	2509	316
888	2512	313
889	2515	310
890	2518	308
891	2522	305
892	2525	302
893	2528	299
894	2532	297
895	2535	294
896	2539	291
897	2542	288
898	2545	286
899	2549	283
900	2552	280
901	2556	277
902	2559	274
903	2563	272
904	2567	269
905	2571	266
906	2574	264
907	2577	261
908	2580	258
909	2584	255
910	2588	252
911	2591	250
912	2594	247
913	2597	244
914	2601	241
915	2604	238
916	2607	236
917	2610	233
918	2615	230
919	2618	227
920	2621	224
921	2625	222
922	2628	219
923	2632	216
924	2635	213
925	2638	210
926	2642	208
927	2646	205
928	2650	202
929	2653	199
930	2657	196
931	2661	194
932	2665	191
933	2668	188
934	2671	185
935	2674	182
936	2678	180
937	2681	177
938	2684	174
939	2687	171
940	2691	168
941	2695	165
942	2698	163
943	2701	160
944	2704	157
945	2708	154
946	2711	151
947	2714	148
948	2717	146
949	2721	143
950	2724	140
951	2727	137
952	2731	134
953	2734	131
954	2738	129
955	2741	126
956	2744	123
957	2747	120
958	2751	117
959	2754	114
960	2758	111
961	2761	109
962	2765	106
963	2769	103
964	2772	100
965	2775	97
966	2779	94
967	2783	92
968	2787	89
969	2790	86
970	2793	83
971	2797	80
972	2800	77
973	2803	74
974	2806	71
975	2809	69
976	2815	66
977	2819	63
978	2823	60
979	2828	57
980	2833	54
981	2838	52
982	2842	49
983	2846	46
984	2849	43
985	2853	40
986	2857	37
987	2861	34
988	2864	31
989	2867	28
990	2871	26
991	2874	23
992	2878	20
993	2881	17
994	2884	14
995	2887	11
996	2891	8
997	2894	5
998	2897	2
999	2900	0
